region,region_code,year,population
Hauts-de-France,32,2010,5953001
La Réunion,04,2010,821136
Martinique,02,2010,394173
Normandie,28,2010,3310448
Nouvelle-Aquitaine,75,2010,5745486
Occitanie,76,2010,5518106
Pays de la Loire,52,2010,3571495
Provence-Alpes-Côte d'Azur,93,2010,4899155
Île-de-France,11,2010,11786234
Auvergne-Rhône-Alpes,84,2011,7634223
Bourgogne-Franche-Comté,27,2011,2816174
Bretagne,53,2011,3217767
Centre-Val-de-Loire,24,2011,2556835
Corse,94,2011,314486
France métropolitaine,FM,2011,63070344
Grand Est,44,2011,5539035
Guadeloupe,01,2011,404635
Guyane,03,2011,237549
Hauts-de-France,32,2011,5960170
La Réunion,04,2011,828581
Martinique,02,2011,392291
Normandie,28,2011,3315077
Nouvelle-Aquitaine,75,2011,5773078
Occitanie,76,2011,5573466
Pays de la Loire,52,2011,3601113
Provence-Alpes-Côte d'Azur,93,2011,4916069
Île-de-France,11,2011,11852851
Auvergne-Rhône-Alpes,84,2012,7695264
Bourgogne-Franche-Comté,27,2012,2816814
Bretagne,53,2012,3237097
Centre-Val-de-Loire,24,2012,2563586
Corse,94,2012,316257
France métropolitaine,FM,2012,63375971
Grand Est,44,2012,5548955
Guadeloupe,01,2012,403314
Guyane,03,2012,239648
Hauts-de-France,32,2012,5973098
La Réunion,04,2012,833944
Martinique,02,2012,388364
Normandie,28,2012,3322756
Nouvelle-Aquitaine,75,2012,5808594
Occitanie,76,2012,5626858
Pays de la Loire,52,2012,3632614
Provence-Alpes-Côte d'Azur,93,2012,4935576
Île-de-France,11,2012,11898502
Auvergne-Rhône-Alpes,84,2013,7757595
Bourgogne-Franche-Comté,27,2013,2819783
Bretagne,53,2013,3258707
Centre-Val-de-Loire,24,2013,2570548
Corse,94,2013,320208
France métropolitaine,FM,2013,63697865
Grand Est,44,2013,5552388
Guadeloupe,01,2013,402119
Guyane,03,2013,244118
Hauts-de-France,32,2013,5987883
La Réunion,04,2013,835103
Martinique,02,2013,385551
Normandie,28,2013,3328364
Nouvelle-Aquitaine,75,2013,5844177
Occitanie,76,2013,5683878
Pays de la Loire,52,2013,3660852
Provence-Alpes-Côte d'Azur,93,2013,4953675
Île-de-France,11,2013,11959807
Auvergne-Rhône-Alpes,84,2014,7820966
Bourgogne-Franche-Comté,27,2014,2820623
Bretagne,53,2014,3276543
Centre-Val-de-Loire,24,2014,2577435
Corse,94,2014,324212
France métropolitaine,FM,2014,64027958
Grand Est,44,2014,5554645
Guadeloupe,01,2014,400186
Guyane,03,2014,252338
Hauts-de-France,32,2014,6006156
La Réunion,04,2014,842767
Martinique,02,2014,383911
Mayotte,06,2014,223713
Normandie,28,2014,3335645
Nouvelle-Aquitaine,75,2014,5879144
Occitanie,76,2014,5730753
Pays de la Loire,52,2014,3690833
Provence-Alpes-Côte d'Azur,93,2014,4983438
Île-de-France,11,2014,12027565
Auvergne-Rhône-Alpes,84,2015,7877698
Bourgogne-Franche-Comté,27,2015,2820940
Bretagne,53,2015,3293850
Centre-Val-de-Loire,24,2015,2578592
Corse,94,2015,327283
France métropolitaine,FM,2015,64300821
Grand Est,44,2015,5559051
Guadeloupe,01,2015,397990
Guyane,03,2015,259865
Hauts-de-France,32,2015,6009976
La Réunion,04,2015,850727
Martinique,02,2015,380877
Mayotte,06,2015,232189
Normandie,28,2015,3339131
Nouvelle-Aquitaine,75,2015,5911482
Occitanie,76,2015,5774185
Pays de la Loire,52,2015,3718512
Provence-Alpes-Côte d'Azur,93,2015,5007977
Île-de-France,11,2015,12082144
Auvergne-Rhône-Alpes,84,2016,7916889
Bourgogne-Franche-Comté,27,2016,2818338
Bretagne,53,2016,3306529
Centre-Val-de-Loire,24,2016,2577866
Corse,94,2016,330455
France métropolitaine,FM,2016,64468792
Grand Est,44,2016,5555186
Guadeloupe,01,2016,394110
Guyane,03,2016,269352
Hauts-de-France,32,2016,6006870
La Réunion,04,2016,852924
Martinique,02,2016,376480
Mayotte,06,2016,240987
Normandie,28,2016,3335929
Nouvelle-Aquitaine,75,2016,5935603
Occitanie,76,2016,5808435
Pays de la Loire,52,2016,3737632
Provence-Alpes-Côte d'Azur,93,2016,5021928
Île-de-France,11,2016,12117132
Auvergne-Rhône-Alpes,84,2017,7948287
Bourgogne-Franche-Comté,27,2017,2811423
Bretagne,53,2017,3318904
Centre-Val-de-Loire,24,2017,2576252
Corse,94,2017,334938
France métropolitaine,FM,2017,64639133
Grand Est,44,2017,5549586
Guadeloupe,01,2017,390253
Guyane,03,2017,268700
Hauts-de-France,32,2017,6003815
La Réunion,04,2017,853659
Martinique,02,2017,372594
Mayotte,06,2017,250143
Normandie,28,2017,3330478
Nouvelle-Aquitaine,75,2017,5956978
Occitanie,76,2017,5845102
Pays de la Loire,52,2017,3757600
Provence-Alpes-Côte d'Azur,93,2017,5030890
Île-de-France,11,2017,12174880
Auvergne-Rhône-Alpes,84,2018,7994459
Bourgogne-Franche-Comté,27,2018,2807807
Bretagne,53,2018,3335414
Centre-Val-de-Loire,24,2018,2572853
Corse,94,2018,338554
France métropolitaine,FM,2018,64844037
Grand Est,44,2018,5550389
Guadeloupe,01,2018,387629
Guyane,03,2018,276128
Hauts-de-France,32,2018,6004108
La Réunion,04,2018,855961
Martinique,02,2018,368783
Mayotte,06,2018,259621
Normandie,28,2018,3327477
Nouvelle-Aquitaine,75,2018,5979778
Occitanie,76,2018,5885496
Pays de la Loire,52,2018,3781423
Provence-Alpes-Côte d'Azur,93,2018,5052832
Île-de-France,11,2018,12213447
Auvergne-Rhône-Alpes,84,2019,8042936
Bourgogne-Franche-Comté,27,2019,2805580
Bretagne,53,2019,3354854
Centre-Val-de-Loire,24,2019,2573180
Corse,94,2019,340440
France métropolitaine,FM,2019,65096768
Grand Est,44,2019,5556219
Guadeloupe,01,2019,384239
Guyane,03,2019,281678
Hauts-de-France,32,2019,6004947
La Réunion,04,2019,861210
Martinique,02,2019,364508
Mayotte,06,2019,269579
Normandie,28,2019,3325032
Nouvelle-Aquitaine,75,2019,6010289
Occitanie,76,2019,5933185
Pays de la Loire,52,2019,3806461
Provence-Alpes-Côte d'Azur,93,2019,5081101
Île-de-France,11,2019,12262544
Auvergne-Rhône-Alpes,84,2020,8078652
Bourgogne-Franche-Comté,27,2020,2801695
Bretagne,53,2020,3373835
Centre-Val-de-Loire,24,2020,2574863
Corse,94,2020,343701
France métropolitaine,FM,2020,65269154
Grand Est,44,2020,5562651
Guadeloupe,01,2020,383559
Guyane,03,2020,285133
Hauts-de-France,32,2020,5997734
La Réunion,04,2020,863083
Martinique,02,2020,361225
Mayotte,06,2020,279696
Normandie,28,2020,3325522
Nouvelle-Aquitaine,75,2020,6033952
Occitanie,76,2020,5973969
Pays de la Loire,52,2020,3832120
Provence-Alpes-Côte d'Azur,93,2020,5098666
Île-de-France,11,2020,12271794
Auvergne-Rhône-Alpes,84,2021,8114361
Bourgogne-Franche-Comté,27,2021,2800194
Bretagne,53,2021,3394567
Centre-Val-de-Loire,24,2021,2573303
Corse,94,2021,347597
