;ANNEE1;REGION;SALAIRE;REGION_NOM
1348;2020;R3;28809;Guyane
1349;2020;R4;25777;La Réunion
1350;2021;E;29569;Ensemble
1351;2021;R84;28783;Auvergne-Rhône-Alpes
1352;2021;R27;26110;Bourgogne-Franche-Comté
1353;2021;R53;26493;Bretagne
1354;2021;R24;26936;Centre-Val de Loire
1355;2021;R94;25845;Corse
1356;2021;R44;26726;Grand Est
1357;2021;R32;27015;Hauts-de-France
1358;2021;R11;37435;Île-de-France
1359;2021;R28;26822;Normandie
1360;2021;R75;26672;Nouvelle-Aquitaine
1361;2021;R76;27193;Occitanie
1362;2021;R52;26646;Pays de la Loire
1363;2021;R93;28574;Provence-Alpes-Côte d_Azur
1364;2021;R1;27040;Guadeloupe
1365;2021;R2;26862;Martinique
1366;2021;R3;27557;Guyane
1367;2021;R4;24823;La Réunion
1368;2021;E;26916;Ensemble
1369;2021;R84;25872;Auvergne-Rhône-Alpes
1370;2021;R27;23626;Bourgogne-Franche-Comté
1371;2021;R53;23971;Bretagne
1372;2021;R24;24538;Centre-Val de Loire
1373;2021;R94;23955;Corse
1374;2021;R44;24060;Grand Est
1375;2021;R32;24397;Hauts-de-France
1376;2021;R11;34427;Île-de-France
1377;2021;R28;24188;Normandie
1378;2021;R75;24348;Nouvelle-Aquitaine
1379;2021;R76;24646;Occitanie
1380;2021;R52;24034;Pays de la Loire
1381;2021;R93;25759;Provence-Alpes-Côte d_Azur
1382;2021;R1;25885;Guadeloupe
1383;2021;R2;25602;Martinique
1384;2021;R3;26055;Guyane
1385;2021;R4;23800;La Réunion
1386;2021;E;31450;Ensemble
1387;2021;R84;30806;Auvergne-Rhône-Alpes
1388;2021;R27;27830;Bourgogne-Franche-Comté
1389;2021;R53;28294;Bretagne
1390;2021;R24;28631;Centre-Val de Loire
1391;2021;R94;27267;Corse
1392;2021;R44;28598;Grand Est
1393;2021;R32;28667;Hauts-de-France
1394;2021;R11;39642;Île-de-France
1395;2021;R28;28590;Normandie
1396;2021;R75;28377;Nouvelle-Aquitaine
1397;2021;R76;29045;Occitanie
1398;2021;R52;28481;Pays de la Loire
1399;2021;R93;30667;Provence-Alpes-Côte d_Azur
1400;2021;R1;28065;Guadeloupe
1401;2021;R2;27986;Martinique
1402;2021;R3;28507;Guyane
1403;2021;R4;25520;La Réunion
1404;2022;E;30718;Ensemble
1405;2022;R84;29947;Auvergne-Rhône-Alpes
1406;2022;R27;27172;Bourgogne-Franche-Comté
1407;2022;R53;27605;Bretagne
1408;2022;R24;28053;Centre-Val de Loire
1409;2022;R94;26882;Corse
1410;2022;R44;27793;Grand Est
1411;2022;R32;28018;Hauts-de-France
1412;2022;R11;38620;Île-de-France
1413;2022;R28;27903;Normandie
1414;2022;R75;27785;Nouvelle-Aquitaine
1415;2022;R76;28289;Occitanie
1416;2022;R52;27832;Pays de la Loire
1417;2022;R93;29680;Provence-Alpes-Côte d_Azur
1418;2022;R1;27563;Guadeloupe
1419;2022;R2;27511;Martinique
1420;2022;R3;28154;Guyane
1421;2022;R4;25516;La Réunion
1422;2022;E;28101;Ensemble
1423;2022;R84;27036;Auvergne-Rhône-Alpes
1424;2022;R27;24666;Bourgogne-Franche-Comté
1425;2022;R53;25110;Bretagne
1426;2022;R24;25711;Centre-Val de Loire
1427;2022;R94;24921;Corse
1428;2022;R44;25140;Grand Est
1429;2022;R32;25407;Hauts-de-France
1430;2022;R11;35771;Île-de-France
1431;2022;R28;25271;Normandie
1432;2022;R75;25461;Nouvelle-Aquitaine
1433;2022;R76;25769;Occitanie
1434;2022;R52;25237;Pays de la Loire
1435;2022;R93;26893;Provence-Alpes-Côte d_Azur
1436;2022;R1;26442;Guadeloupe
1437;2022;R2;26267;Martinique
1438;2022;R3;26629;Guyane
1439;2022;R4;24569;La Réunion
1440;2022;E;32601;Ensemble
1441;2022;R84;32006;Auvergne-Rhône-Alpes
1442;2022;R27;28937;Bourgogne-Franche-Comté
1443;2022;R53;29416;Bretagne
1444;2022;R24;29727;Centre-Val de Loire
1445;2022;R94;28393;Corse
1446;2022;R44;29691;Grand Est
1447;2022;R32;29702;Hauts-de-France
1448;2022;R11;40726;Île-de-France
1449;2022;R28;29707;Normandie
1450;2022;R75;29522;Nouvelle-Aquitaine
1451;2022;R76;30142;Occitanie
1452;2022;R52;29679;Pays de la Loire
1453;2022;R93;31786;Provence-Alpes-Côte d_Azur
1454;2022;R1;28585;Guadeloupe
1455;2022;R2;28645;Martinique
1456;2022;R3;29154;Guyane
1457;2022;R4;26176;La Réunion
1458;2023;E;31902;Ensemble
1459;2023;R84;31095;Auvergne-Rhône-Alpes
1460;2023;R27;28283;Bourgogne-Franche-Comté
1461;2023;R53;28786;Bretagne
1462;2023;R24;29227;Centre-Val de Loire
1463;2023;R94;27757;Corse
1464;2023;R44;28974;Grand Est
1465;2023;R32;29221;Hauts-de-France
1466;2023;R11;39873;Île-de-France
1467;2023;R28;29047;Normandie
1468;2023;R75;28971;Nouvelle-Aquitaine
1469;2023;R76;29426;Occitanie
1470;2023;R52;28983;Pays de la Loire
1471;2023;R93;30822;Provence-Alpes-Côte d_Azur
1472;2023;R1;28436;Guadeloupe
1473;2023;R2;28475;Martinique
1474;2023;R3;28949;Guyane
1475;2023;R4;26307;La Réunion
1476;2023;E;29297;Ensemble
1477;2023;R84;28223;Auvergne-Rhône-Alpes
1478;2023;R27;25756;Bourgogne-Franche-Comté
1479;2023;R53;26217;Bretagne
1480;2023;R24;26842;Centre-Val de Loire
1481;2023;R94;25905;Corse
1482;2023;R44;26268;Grand Est
