GEO;GEO_OBJECT;AGE;SEX;EDUC;STUD_AREA;RP_MEASURE;FREQ;TIME_PERIOD;OBS_VALUE;GEO_str;region_nom
84;REG;Y_GE15;M;_T;_Z;POP;A;2022;2887240.05893;84;Auvergne-Rhône-Alpes
01;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;59767.44284;01;Guadeloupe
27;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;78317.69369;27;Bourgogne-Franche-Comté
11;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;965466.43151;11;Île-de-France
94;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;10545.1323;94;Corse
76;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;268124.31326;76;Occitanie
28;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;93277.44289;28;Normandie
01;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;27852.93063;01;Guadeloupe
04;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;27635.92657;04;La Réunion
24;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;244684.47473;24;Centre-Val de Loire
76;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;842261.77541;76;Occitanie
44;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;187371.41303;44;Grand Est
24;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;422530.46744;24;Centre-Val de Loire
52;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;138857.6687;52;Pays de la Loire
01;REG;Y_GE15;M;_T;_Z;POP;A;2022;128331.75838;01;Guadeloupe
32;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;218648.23625;32;Hauts-de-France
76;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;188000.90729;76;Occitanie
76;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;466302.77225;76;Occitanie
84;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;381963.59758;84;Auvergne-Rhône-Alpes
04;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;18920.58395;04;La Réunion
32;REG;Y_GE15;M;_T;_Z;POP;A;2022;2076778.32044;32;Hauts-de-France
52;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;82930.40675;52;Pays de la Loire
11;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;628270.0934;11;Île-de-France
44;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;468471.24021;44;Grand Est
94;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;55954.60736;94;Corse
04;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;28091.65273;04;La Réunion
27;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;108546.80434;27;Bourgogne-Franche-Comté
24;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;156515.54262;24;Centre-Val de Loire
02;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;16949.47972;02;Martinique
03;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;39131.34634;03;Guyane
75;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;260394.97306;75;Nouvelle-Aquitaine
02;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;29130.61083;02;Martinique
53;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;294006.78482;53;Bretagne
04;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;20791.18106;04;La Réunion
84;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;485539.06894;84;Auvergne-Rhône-Alpes
75;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;105485.42362;75;Nouvelle-Aquitaine
53;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;143070.56465;53;Bretagne
27;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;376740.03292;27;Bourgogne-Franche-Comté
04;REG;Y_GE15;M;_T;_Z;POP;A;2022;287216.48499;04;La Réunion
84;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;625012.2879;84;Auvergne-Rhône-Alpes
02;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;42802.78183;02;Martinique
28;REG;Y_GE15;_T;_T;_Z;POP;A;2022;2493623.18582;28;Normandie
27;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;110418.59874;27;Bourgogne-Franche-Comté
32;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;150678.96236;32;Hauts-de-France
28;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;265220.44565;28;Normandie
44;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;656339.57244;44;Grand Est
11;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;722991.10154;11;Île-de-France
24;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;75514.50366;24;Centre-Val de Loire
76;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;537565.15804;76;Occitanie
01;REG;Y_GE15;_T;_T;_Z;POP;A;2022;287643.44388;01;Guadeloupe
04;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;13020.58855;04;La Réunion
94;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;24814.28578;94;Corse
32;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;597258.86551;32;Hauts-de-France
44;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;216390.22239;44;Grand Est
01;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;53101.86776;01;Guadeloupe
03;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;5715.8208;03;Guyane
04;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;213225.34158;04;La Réunion
93;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;250542.29377;93;Provence-Alpes-Côte d'Azur
44;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;372158.09899;44;Grand Est
52;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;55927.26196;52;Pays de la Loire
52;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;441903.09015;52;Pays de la Loire
03;REG;Y_GE15;_T;_T;_Z;POP;A;2022;167785.7332;03;Guyane
53;REG;Y_GE15;F;_T;_Z;POP;A;2022;1333587.06154;53;Bretagne
44;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;108825.63705;44;Grand Est
11;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;805060.05756;11;Île-de-France
84;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;1063097.02712;84;Auvergne-Rhône-Alpes
84;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;615689.5559;84;Auvergne-Rhône-Alpes
28;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;397759.22765;28;Normandie
52;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;537590.77973;52;Pays de la Loire
76;REG;Y_GE15;M;300_RP;_Z;POP;A;2022;599241.4832;76;Occitanie
04;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;47012.23667;04;La Réunion
32;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;104105.98535;32;Hauts-de-France
28;REG;Y_GE15;F;_T;_Z;POP;A;2022;1304555.46069;28;Normandie
44;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;366282.9824;44;Grand Est
75;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;373399.01556;75;Nouvelle-Aquitaine
32;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;170077.66691;32;Hauts-de-France
76;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;242193.58613;76;Occitanie
53;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;256189.36358;53;Bretagne
11;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;751031.53273;11;Île-de-France
01;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;28936.8033;01;Guadeloupe
28;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;241828.5148;28;Normandie
76;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;462717.47644;76;Occitanie
75;REG;Y_GE15;_T;_T;_Z;POP;A;2022;4691961.6691;75;Nouvelle-Aquitaine
94;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;11731.92747;94;Corse
44;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;149892.76002;44;Grand Est
28;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;189782.87554;28;Normandie
27;REG;Y_GE15;_T;_T;_Z;POP;A;2022;2131292.90504;27;Bourgogne-Franche-Comté
28;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;699865.36842;28;Normandie
01;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;10894.39945;01;Guadeloupe
44;REG;Y_GE15;_T;_T;_Z;POP;A;2022;4169094.64577;44;Grand Est
04;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;115606.23661;04;La Réunion
53;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;84315.89124;53;Bretagne
44;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;365980.09718;44;Grand Est
03;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;6004.41074;03;Guyane
28;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;51672.77583;28;Normandie
01;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;19112.63542;01;Guadeloupe
32;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;146161.27179;32;Hauts-de-France
76;REG;Y_GE15;M;_T;_Z;POP;A;2022;2183198.49896;76;Occitanie
01;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;30436.82768;01;Guadeloupe
02;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;26796.11255;02;Martinique
94;REG;Y_GE15;F;600_RP;_Z;POP;A;2022;16672.74027;94;Corse
75;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;556159.95189;75;Nouvelle-Aquitaine
94;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;57025.62143;94;Corse
75;REG;Y_GE15;F;_T;_Z;POP;A;2022;2460146.16281;75;Nouvelle-Aquitaine
03;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;27636.55507;03;Guyane
94;REG;Y_GE15;_T;_T;_Z;POP;A;2022;276092.38371;94;Corse
75;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;247174.12775;75;Nouvelle-Aquitaine
27;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;114926.83008;27;Bourgogne-Franche-Comté
27;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;179317.67986;27;Bourgogne-Franche-Comté
24;REG;Y_GE15;_T;500_RP;_Z;POP;A;2022;218133.42918;24;Centre-Val de Loire
