"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"65";"DEP";"OTH_SIDE";"BURE";2015;28
"A";"16";"DEP";"57";"BURE";2016;209
"A";"18";"DEP";"MICRO";"BURE";2017;829
"A";"47";"DEP";"MICRO";"BURE";2018;1598
"A";"66";"DEP";"57";"BURE";2016;782
"A";"82";"DEP";"OTH_SIDE";"BURE";2015;15
"A";"53";"DEP";"ENTIND_X_MICRO";"BURE";2016;532
"A";"08";"DEP";"ENTIND_X_MICRO";"BURE";2024;372
"A";"25";"DEP";"57";"BURE";2022;831
"A";"70";"DEP";"ENTIND_X_MICRO";"BURE";2022;408
"A";"38";"DEP";"ENTIND_X_MICRO";"BURE";2023;1921
"A";"85";"DEP";"54";"BURE";2022;1154
"A";"90";"DEP";"57";"BURE";2022;175
"A";"70";"DEP";"_T";"BURE";2013;1405
"A";"80";"DEP";"OTH_SIDE";"BURE";2023;153
"A";"976";"DEP";"ENTIND_X_MICRO";"BURE";2022;648
"A";"33";"DEP";"ENTIND_X_MICRO";"BURE";2022;3747
"A";"53";"DEP";"OTH_SIDE";"BURE";2022;506
"A";"02";"REG";"_T";"BURE";2020;5822
"A";"04";"REG";"54";"BURE";2020;1352
"A";"01";"REG";"54";"BURE";2022;674
"A";"63";"DEP";"MICRO";"BURE";2020;3999
"A";"01";"DEP";"57";"BURE";2021;1236
"A";"61";"DEP";"ENTIND_X_MICRO";"BURE";2019;443
"A";"52";"DEP";"ENTIND_X_MICRO";"BURE";2020;431
"A";"86";"DEP";"OTH_SIDE";"BURE";2020;76
"A";"93";"DEP";"MICRO";"BURE";2019;21230
"A";"82";"DEP";"54";"BURE";2021;219
"A";"971";"DEP";"MICRO";"BURE";2019;1866
"A";"44";"REG";"OTH_SIDE";"BURE";2021;977
"A";"28";"REG";"MICRO";"BURE";2020;18809
"A";"32";"REG";"OTH_SIDE";"BURE";2016;1006
"A";"39";"DEP";"ENTIND_X_MICRO";"BURE";2016;467
"A";"52";"DEP";"54";"BURE";2015;105
"A";"32";"REG";"ENTIND_X_MICRO";"BURE";2017;9471
"A";"51";"DEP";"ENTIND_X_MICRO";"BURE";2017;1198
"A";"91";"DEP";"MICRO";"BURE";2017;6511
"A";"62";"DEP";"MICRO";"BURE";2016;3080
"A";"54";"DEP";"57";"BURE";2018;619
"A";"14";"DEP";"ENTIND_X_MICRO";"BURE";2016;998
"A";"03";"DEP";"54";"BURE";2018;208
"A";"70";"DEP";"MICRO";"BURE";2018;680
"A";"12";"DEP";"57";"BURE";2016;200
"A";"32";"REG";"_T";"BURE";2015;34616
"A";"02";"DEP";"_T";"BURE";2020;3753
"A";"54";"DEP";"_T";"BURE";2023;8340
"A";"34";"DEP";"_T";"BURE";2021;24150
"A";"88";"DEP";"_T";"BURE";2017;2443
"A";"37";"DEP";"_T";"BURE";2016;4310
"A";"36";"DEP";"_T";"BURE";2018;1294
"A";"39";"DEP";"_T";"BURE";2020;2422
"A";"11";"REG";"_T";"BURE";2020;255208
"A";"03";"DEP";"_T";"BURE";2016;1894
"A";"67";"DEP";"_T";"BURE";2023;14410
"A";"75";"REG";"_T";"BURE";2020;74892
"A";"74";"DEP";"MICRO";"BURE";2014;3622
"A";"33";"DEP";"54";"BURE";2013;3072
"A";"58";"DEP";"54";"BURE";2012;161
"A";"02";"REG";"OTH_SIDE";"BURE";2013;1554
"A";"40";"DEP";"57";"BURE";2014;237
"A";"49";"DEP";"57";"BURE";2012;165
"A";"92";"DEP";"54";"BURE";2013;3503
"A";"15";"DEP";"ENTIND_X_MICRO";"BURE";2015;255
"A";"29";"DEP";"57";"BURE";2012;170
"A";"29";"DEP";"OTH_SIDE";"BURE";2014;122
"A";"974";"DEP";"ENTIND_X_MICRO";"BURE";2013;2905
"A";"84";"REG";"57";"BURE";2013;5746
"A";"52";"DEP";"ENTIND_X_MICRO";"BURE";2024;244
"A";"23";"DEP";"OTH_SIDE";"BURE";2022;15
"A";"41";"DEP";"54";"BURE";2022;324
"A";"91";"DEP";"OTH_SIDE";"BURE";2022;170
"A";"01";"REG";"OTH_SIDE";"BURE";2024;375
"A";"12";"DEP";"54";"BURE";2024;219
"A";"28";"REG";"57";"BURE";2023;4566
"A";"21";"DEP";"ENTIND_X_MICRO";"BURE";2024;891
"A";"18";"DEP";"57";"BURE";2023;365
"A";"01";"REG";"ENTIND_X_MICRO";"BURE";2023;732
"A";"32";"REG";"ENTIND_X_MICRO";"BURE";2023;8084
"A";"45";"DEP";"_T";"BURE";2013;4609
"A";"71";"DEP";"ENTIND_X_MICRO";"BURE";2021;964
"A";"971";"DEP";"54";"BURE";2020;498
"A";"35";"DEP";"OTH_SIDE";"BURE";2021;420
"A";"31";"DEP";"ENTIND_X_MICRO";"BURE";2019;2371
"A";"67";"DEP";"MICRO";"BURE";2019;5847
"A";"04";"REG";"54";"BURE";2021;1573
"A";"37";"DEP";"MICRO";"BURE";2020;4055
"A";"84";"REG";"57";"BURE";2020;15585
"A";"15";"DEP";"54";"BURE";2019;89
"A";"24";"REG";"OTH_SIDE";"BURE";2021;420
"A";"27";"REG";"54";"BURE";2020;1941
"A";"47";"DEP";"57";"BURE";2019;437
"A";"12";"DEP";"ENTIND_X_MICRO";"BURE";2016;565
"A";"09";"DEP";"57";"BURE";2016;170
"A";"76";"REG";"MICRO";"BURE";2017;31042
"A";"53";"REG";"MICRO";"BURE";2018;13254
"A";"48";"DEP";"54";"BURE";2015;63
"A";"19";"DEP";"57";"BURE";2017;220
"A";"59";"DEP";"ENTIND_X_MICRO";"BURE";2015;3417
"A";"70";"DEP";"OTH_SIDE";"BURE";2015;12
"A";"25";"DEP";"OTH_SIDE";"BURE";2017;77
"A";"24";"REG";"MICRO";"BURE";2016;7724
"A";"47";"DEP";"MICRO";"BURE";2015;1204
