creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
6.96,9.225,85.100625,12.96,-0.1,26752.0,2017,Grand Est
7.73,8.6,73.96,12.96,0.01,25290.0,2018,Grand Est
7.73,8.6,73.96,12.96,0.01,22449.0,2018,Grand Est
7.73,8.6,73.96,12.96,0.01,27280.0,2018,Grand Est
8.87,8.125,66.015625,12.96,0.11,25916.0,2019,Grand Est
8.87,8.125,66.015625,12.96,0.11,23122.0,2019,Grand Est
8.87,8.125,66.015625,12.96,0.11,27877.0,2019,Grand Est
9.56,7.775,60.450625,12.96,0.12,26780.0,2020,Grand Est
9.56,7.775,60.450625,12.96,0.12,24063.0,2020,Grand Est
9.56,7.775,60.450625,12.96,0.12,28691.0,2020,Grand Est
11.64,7.65,58.52250000000001,12.96,-0.02,26726.0,2021,Grand Est
11.64,7.65,58.52250000000001,12.96,-0.02,24060.0,2021,Grand Est
11.64,7.65,58.52250000000001,12.96,-0.02,28598.0,2021,Grand Est
11.46,7.05,49.7025,12.96,-0.02,27793.0,2022,Grand Est
11.46,7.05,49.7025,12.96,-0.02,25140.0,2022,Grand Est
11.46,7.05,49.7025,12.96,-0.02,29691.0,2022,Grand Est
11.33,7.15,51.1225,12.96,-0.1,28974.0,2023,Grand Est
11.33,7.15,51.1225,12.96,-0.1,26268.0,2023,Grand Est
11.33,7.15,51.1225,12.96,-0.1,30922.0,2023,Grand Est
6.7,8.95,80.10249999999999,13.86,0.75,23869.0,2015,Pays de la Loire
6.7,8.95,80.10249999999999,13.86,0.75,21065.0,2015,Pays de la Loire
6.7,8.95,80.10249999999999,13.86,0.75,25805.0,2015,Pays de la Loire
6.91,8.5,72.25,13.86,0.51,24085.0,2016,Pays de la Loire
6.91,8.5,72.25,13.86,0.51,21305.0,2016,Pays de la Loire
6.91,8.5,72.25,13.86,0.51,26008.0,2016,Pays de la Loire
7.57,7.775,60.450625,13.86,0.53,24543.0,2017,Pays de la Loire
7.57,7.775,60.450625,13.86,0.53,21866.0,2017,Pays de la Loire
